LC22_EVT_220,PDP_Values
7011,0.4438463336967526
7017,0.4443590138156619
7019,0.44410581841727326
7027,0.44160471779242505
7028,0.46285313396991473
7029,0.4617287188811553
7030,0.46439530198421375
7031,0.46366184576393416
7032,0.462159165392912
7033,0.46277828557484807
7044,0.462219967514758
7058,0.4630130302443894
7062,0.46312410304801477
7079,0.4630904086000861
7080,0.4650725137122409
7097,0.46695492130635674
7098,0.46739113363609014
7105,0.4693152059822264
7114,0.46964567460292816
7125,0.46922224265497137
7126,0.4692140339512988
7136,0.4696435744735913
7137,0.46964809038407784
7153,0.47027663933382136
7156,0.4702433861091426
7157,0.4702433861091426
7158,0.47069101849127665
7159,0.4709312226837258
7172,0.46886182136160315
7173,0.4669731063910944
7292,0.4776952540149787
7296,0.4780054012791261
7297,0.47804773919897714
7298,0.47822068253735395
7299,0.4738914070557922
7662,0.47639750451341506
7900,0.4769252540133919
7901,0.476915321431603
7902,0.47688168466400893
7903,0.47955953855489897
7904,0.47931622769748156
7921,0.48022105154797456
7922,0.48066319109610706
7923,0.4806207626497385
7924,0.4806207626497385
7966,0.48298853543756365
7967,0.48302812751813207
9003,0.47943478013042845
9005,0.47943478013042845
9006,0.47943478013042845
9010,0.47955064488814425
9011,0.47955064488814425
9125,0.4792115648412029
9129,0.4787748527087029
9160,0.4786703888348315
9213,0.4785406434572657
9272,0.4774210382508914
9301,0.4748807046544357
9308,0.47569462513138283
9309,0.4759751235693998
9328,0.47717397405506273
9336,0.4767246653547334
9337,0.4767223215192043
9629,0.4771296407815314
9828,0.4771740793515021
